Vehicle_ID,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr
111,Lead-acid,73.4,309,DC Fast Charging (DCFC),1.9
112,Lead-acid,138.4,128,CCS,6.5
113,Lithium-sulfur,36.3,255,DC Fast Charging (DCFC),6.3
114,Magnesium-ion,95,433,Inductive (Wireless) Charging,9.3
115,Nickel-manganese-cobalt,29.5,130,NACS,5.6
116,Lead-acid,33.8,223,Vehicle-to-Home (V2H),1.9
117,Lithium-titanate,60.7,490,NACS,6.2
118,Lithium-sulfur,84.3,551,Vehicle-to-Load (V2L),3.8
119,Lead-acid,45.3,383,Solar Charging,1.3
120,Sodium-ion,118.1,201,Plug-in Hydrogen Refueling,6.3
121,Nickel-cobalt-aluminum,148.8,478,Solar Charging,7.3
122,Lithium-sulfur,123.6,471,Level 1 Charging,7.4
123,Lithium-ion,94.4,458,CCS,2.7
124,Lead-acid,62.3,439,Vehicle-to-Load (V2L),6.5
125,Lithium-sulfur,92.6,215,Solar Charging,9.4
126,Calcium-ion,64.9,495,CHAdeMO,3.8
127,Nickel-metal hydride,34.2,479,Ultra-Fast Charging (350 kW+),3.3
128,Lead-acid,147.1,180,Vehicle-to-Grid (V2G),8
129,Nickel-cobalt-aluminum,134.7,190,Level 2 Charging,12
130,Nickel-manganese-cobalt,148.6,378,Vehicle-to-Load (V2L),10.7
131,Magnesium-ion,58.4,445,Inductive (Wireless) Charging,2.5
132,Lithium-sulfur,69.9,328,Battery Swapping,11.5
133,Flow batteries,85.3,558,Solar Charging,8.4
134,Magnesium-ion,106.3,211,Ultra-Fast Charging (350 kW+),8.3
135,Lithium-iron phosphate,94.5,176,NACS,4.3
136,Zinc-air,27.5,336,Solar Charging,8.8
137,Lithium-ion,57.3,192,CHAdeMO,9.3
138,Nickel-metal hydride,105,278,CCS,2.6
139,Nickel-cobalt-aluminum,127,226,Vehicle-to-Home (V2H),4.5
140,Lithium-ion,78,444,Level 2 Charging,3.3
141,Calcium-ion,61.7,254,CHAdeMO,11.8
142,Flow batteries,107.3,502,Mobile Charging,8.5
143,Nickel-cobalt-aluminum,92.4,168,Plug-in Hydrogen Refueling,3.3
144,Lithium-iron phosphate,124.6,400,Inductive (Wireless) Charging,6
145,Lithium-titanate,98.6,204,Plug-in Hydrogen Refueling,11
146,Magnesium-ion,129.2,568,Inductive (Wireless) Charging,4.8
147,Lithium-iron phosphate,69.4,526,Ultra-Fast Charging (350 kW+),6.2
148,Nickel-metal hydride,113.6,350,NACS,11
149,Lithium-titanate,39.6,211,Vehicle-to-Home (V2H),4.8
150,Lithium-titanate,55.7,600,Solar Charging,0.7
151,Lithium-sulfur,126,236,Plug-in Hydrogen Refueling,1.4
152,Lead-acid,81.9,426,Level 1 Charging,8.6
153,Nickel-manganese-cobalt,55.2,573,DC Fast Charging (DCFC),8.4
154,Aluminum-ion,30,183,Ultra-Fast Charging (350 kW+),7
155,Solid-state,76.8,529,DC Fast Charging (DCFC),4.4
156,Nickel-metal hydride,108.4,438,Plug-in Hydrogen Refueling,1.5
157,Solid-state,31.9,582,Solar Charging,5.6
158,Lead-acid,32.1,406,Mobile Charging,10.4
159,Nickel-metal hydride,55,237,Vehicle-to-Load (V2L),2.2
160,Solid-state,37.6,103,Plug-in Hydrogen Refueling,4.3
161,Sodium-ion,43.1,303,Mobile Charging,3.9
162,Lead-acid,43.4,493,Level 1 Charging,11.5
163,Lithium-sulfur,51.5,437,CHAdeMO,8.7
164,Zinc-air,103,143,CCS,9.3
165,Lithium-ion,32.8,213,Ultra-Fast Charging (350 kW+),5.6
166,Calcium-ion,142.3,172,Overhead Pantograph Charging,4.1
167,Lithium-ion,130.4,431,CCS,8.3
168,Flow batteries,105.5,302,Level 1 Charging,9
169,Sodium-ion,45.6,158,Battery Swapping,8.2
170,Zinc-air,31,168,Mobile Charging,1.9
171,Lead-acid,110.1,430,NACS,6.9
172,Lead-acid,104.9,309,Vehicle-to-Load (V2L),5.3
173,Magnesium-ion,79.5,480,Vehicle-to-Load (V2L),6.8
174,Lithium-titanate,127.9,484,Ultra-Fast Charging (350 kW+),3.9
175,Flow batteries,75.7,415,CHAdeMO,9.5
176,Aluminum-ion,108.3,148,CHAdeMO,11.6
177,Nickel-manganese-cobalt,38.5,423,Battery Swapping,7.7
178,Lithium-titanate,146.4,425,Overhead Pantograph Charging,10.3
179,Calcium-ion,83.1,275,Level 2 Charging,1
180,Aluminum-ion,104.5,181,Battery Swapping,1.6
181,Lithium-ion,47.7,139,CHAdeMO,7.3
182,Solid-state,115,152,CCS,4.1
183,Nickel-metal hydride,77.2,469,Inductive (Wireless) Charging,7.7
184,Sodium-ion,122.8,226,Battery Swapping,7.9
185,Lithium-iron phosphate,117.2,251,Level 2 Charging,9.5
186,Calcium-ion,129.1,315,Overhead Pantograph Charging,6.8
187,Lithium-titanate,85.1,312,Vehicle-to-Grid (V2G),8.6
188,Zinc-air,102.5,527,DC Fast Charging (DCFC),4.1
189,Lithium-ion,112,459,Level 1 Charging,2.4
190,Magnesium-ion,75.8,368,DC Fast Charging (DCFC),3.5
191,Aluminum-ion,94.6,470,CCS,3.1
192,Sodium-ion,52.3,568,Mobile Charging,3.6
193,Sodium-ion,31.2,333,Level 1 Charging,4.7
194,Lithium-ion,141.2,112,Ultra-Fast Charging (350 kW+),6.7
195,Nickel-cobalt-aluminum,84,130,CHAdeMO,8.7
196,Solid-state,96.9,131,Vehicle-to-Grid (V2G),8.1
197,Nickel-metal hydride,121.4,399,CCS,2.3
198,Nickel-metal hydride,125,255,Level 2 Charging,3
199,Nickel-cobalt-aluminum,131.1,384,Ultra-Fast Charging (350 kW+),1.6
200,Flow batteries,101.9,430,DC Fast Charging (DCFC),7.2
201,Lithium-ion,142.5,125,NACS,11.1
202,Lithium-ion,99.8,415,Ultra-Fast Charging (350 kW+),7.9
203,Magnesium-ion,112.7,345,Vehicle-to-Load (V2L),4.5
204,Lithium-iron phosphate,146.6,151,Ultra-Fast Charging (350 kW+),8.1
205,Sodium-ion,124.8,457,Overhead Pantograph Charging,11
206,Solid-state,27.3,408,Ultra-Fast Charging (350 kW+),0.7
207,Calcium-ion,88.4,286,DC Fast Charging (DCFC),4.8
208,Lithium-titanate,145.9,455,Overhead Pantograph Charging,3.1
209,Nickel-metal hydride,98.3,571,Ultra-Fast Charging (350 kW+),7.9
210,Nickel-manganese-cobalt,21.5,207,Ultra-Fast Charging (350 kW+),8.5
211,Nickel-cobalt-aluminum,33.2,345,Ultra-Fast Charging (350 kW+),2.4
212,Aluminum-ion,147.1,273,Vehicle-to-Load (V2L),8.6
213,Lithium-sulfur,58.7,149,Level 2 Charging,5
214,Lithium-iron phosphate,42.2,249,DC Fast Charging (DCFC),5.9
215,Nickel-manganese-cobalt,25.8,325,Vehicle-to-Home (V2H),3.5
216,Lithium-ion,129.3,519,Vehicle-to-Grid (V2G),11.6
217,Flow batteries,147.8,175,CCS,11.4
218,Calcium-ion,97.4,263,DC Fast Charging (DCFC),1.5
219,Nickel-cobalt-aluminum,39.5,390,CCS,11.1
220,Nickel-metal hydride,55.8,173,Plug-in Hydrogen Refueling,0.9
221,Lithium-sulfur,129.6,539,CCS,11.7
222,Lithium-titanate,83,364,Overhead Pantograph Charging,9.9
223,Calcium-ion,27.5,116,Vehicle-to-Home (V2H),1.1
224,Nickel-manganese-cobalt,43.1,545,Vehicle-to-Load (V2L),7.2
225,Flow batteries,49.3,205,Battery Swapping,8
226,Lithium-sulfur,75.1,292,Overhead Pantograph Charging,5.8
227,Flow batteries,34.1,132,Mobile Charging,11.9
228,Nickel-metal hydride,113.8,435,Vehicle-to-Load (V2L),12
229,Lead-acid,103,343,Overhead Pantograph Charging,6.3
230,Solid-state,48.9,214,Solar Charging,5.3
231,Aluminum-ion,45.3,161,Plug-in Hydrogen Refueling,6.6
232,Nickel-manganese-cobalt,63.2,190,Mobile Charging,7.8
233,Nickel-cobalt-aluminum,145.5,296,Level 1 Charging,0.9
234,Nickel-metal hydride,33.4,357,Solar Charging,2.4
235,Nickel-metal hydride,143.3,570,Plug-in Hydrogen Refueling,0.7
236,Zinc-air,26.3,124,CCS,8
237,Nickel-cobalt-aluminum,106,439,Battery Swapping,7.7
238,Calcium-ion,88,203,Overhead Pantograph Charging,8.6
239,Calcium-ion,94.6,352,CHAdeMO,11.4
240,Calcium-ion,25.1,248,Overhead Pantograph Charging,9.7
241,Sodium-ion,136.3,589,Battery Swapping,10.6
242,Nickel-metal hydride,110.5,130,NACS,1.7
243,Aluminum-ion,83.5,554,Vehicle-to-Grid (V2G),5.6
244,Calcium-ion,64,367,CCS,5.5
245,Calcium-ion,81,353,NACS,1.4
246,Magnesium-ion,94.5,145,Vehicle-to-Load (V2L),5.6
247,Lead-acid,46.9,443,Vehicle-to-Home (V2H),11.4
248,Magnesium-ion,105.7,101,Mobile Charging,4.6
249,Solid-state,53.1,200,Inductive (Wireless) Charging,1.9
250,Magnesium-ion,135.9,334,CHAdeMO,11.6
251,Solid-state,70.4,407,Mobile Charging,6.3
252,Lithium-sulfur,129.6,380,Mobile Charging,8.7
253,Lead-acid,110.3,265,CCS,9.2
254,Solid-state,23.3,174,Level 2 Charging,8.2
255,Sodium-ion,125.8,152,Ultra-Fast Charging (350 kW+),9
256,Lithium-ion,21.7,228,Inductive (Wireless) Charging,7.6
257,Lithium-sulfur,78.3,449,DC Fast Charging (DCFC),2.7
258,Lithium-titanate,141.9,120,CHAdeMO,11.2
259,Lead-acid,28.9,358,NACS,5.3
260,Calcium-ion,117.8,432,Level 1 Charging,1.8
261,Lithium-titanate,56.8,566,Overhead Pantograph Charging,6.4
262,Solid-state,47.4,422,Inductive (Wireless) Charging,10.4
263,Nickel-manganese-cobalt,113.2,119,DC Fast Charging (DCFC),1.3
264,Sodium-ion,22.2,444,CCS,6.7
265,Solid-state,56.6,574,Vehicle-to-Home (V2H),4.9
266,Aluminum-ion,138.8,507,Overhead Pantograph Charging,11.5
267,Lithium-iron phosphate,73.6,430,CHAdeMO,2.4
268,Flow batteries,28.8,150,Inductive (Wireless) Charging,8.8
269,Sodium-ion,100.1,256,CHAdeMO,7
270,Lithium-titanate,63.1,345,Vehicle-to-Home (V2H),5.6
271,Lithium-titanate,135.2,139,DC Fast Charging (DCFC),10.8
272,Magnesium-ion,39.3,300,Ultra-Fast Charging (350 kW+),10.8
273,Calcium-ion,145.3,414,NACS,9.2
274,Lithium-iron phosphate,28.2,289,Ultra-Fast Charging (350 kW+),1
275,Zinc-air,90.8,189,Plug-in Hydrogen Refueling,8
276,Lithium-ion,85.2,171,Vehicle-to-Home (V2H),2.4
277,Nickel-manganese-cobalt,107.8,345,Inductive (Wireless) Charging,7.3
278,Nickel-metal hydride,53.6,192,Plug-in Hydrogen Refueling,7.4
279,Calcium-ion,119.8,419,Battery Swapping,2.4
280,Zinc-air,32.5,343,Level 2 Charging,10.6
281,Nickel-cobalt-aluminum,68.1,122,Vehicle-to-Grid (V2G),3.1
282,Magnesium-ion,50.2,539,DC Fast Charging (DCFC),3.8
283,Flow batteries,46.7,511,Mobile Charging,5.2
284,Sodium-ion,92.7,347,Battery Swapping,11.9
285,Magnesium-ion,64,381,Level 2 Charging,2.3
286,Lithium-ion,114.2,576,Plug-in Hydrogen Refueling,7.6
287,Lithium-sulfur,45.3,501,Ultra-Fast Charging (350 kW+),7.6
288,Lithium-iron phosphate,87.3,477,DC Fast Charging (DCFC),11.1
289,Lithium-ion,53.9,308,CCS,6.9
290,Nickel-manganese-cobalt,120.1,487,Mobile Charging,11.6
291,Nickel-cobalt-aluminum,144.2,364,Level 1 Charging,8.6
292,Aluminum-ion,94.6,193,Inductive (Wireless) Charging,6.2
293,Aluminum-ion,30.2,589,Vehicle-to-Load (V2L),7.6
294,Lithium-iron phosphate,117.5,165,Level 2 Charging,6.5
295,Lithium-titanate,21.1,445,Inductive (Wireless) Charging,4.9
296,Lithium-iron phosphate,74.5,485,Overhead Pantograph Charging,4.7
297,Lithium-iron phosphate,39,591,CHAdeMO,5.9
298,Calcium-ion,93.8,303,CCS,8.4
299,Lithium-ion,73.5,279,Inductive (Wireless) Charging,7.1
300,Flow batteries,144.4,544,NACS,7.9
301,Flow batteries,71.4,554,Vehicle-to-Home (V2H),9.5
302,Lithium-iron phosphate,41.7,152,CCS,1.2
303,Flow batteries,141.1,299,Solar Charging,3.1
304,Aluminum-ion,55.4,327,CHAdeMO,11.6
305,Nickel-manganese-cobalt,90.2,512,DC Fast Charging (DCFC),5.6
306,Lithium-titanate,139.9,584,Vehicle-to-Load (V2L),3.9
307,Nickel-cobalt-aluminum,127.7,212,Battery Swapping,1.4
308,Nickel-metal hydride,57.6,426,Vehicle-to-Home (V2H),7.6
309,Lithium-titanate,77,104,Ultra-Fast Charging (350 kW+),1.5
310,Lithium-sulfur,120.8,136,Vehicle-to-Load (V2L),2.6
311,Nickel-manganese-cobalt,115.6,148,Inductive (Wireless) Charging,5.9
312,Lithium-iron phosphate,66.9,126,Inductive (Wireless) Charging,11.7
313,Lithium-titanate,97.5,290,DC Fast Charging (DCFC),3.4
314,Sodium-ion,147.6,503,Overhead Pantograph Charging,9.8
315,Lead-acid,110.6,197,NACS,6.8
316,Lead-acid,67.7,100,Plug-in Hydrogen Refueling,8.9
317,Nickel-manganese-cobalt,119.5,178,Solar Charging,4.2
318,Solid-state,24.1,428,Plug-in Hydrogen Refueling,8.1
319,Magnesium-ion,103.1,284,Vehicle-to-Grid (V2G),10
320,Lead-acid,70.1,198,Ultra-Fast Charging (350 kW+),7.1
321,Nickel-metal hydride,123,381,Plug-in Hydrogen Refueling,6.3
322,Calcium-ion,114.4,411,Ultra-Fast Charging (350 kW+),7
323,Lithium-ion,87.3,555,Solar Charging,0.6
324,Lithium-ion,79.8,179,CHAdeMO,3.5
325,Nickel-manganese-cobalt,127.3,453,CCS,7.3
326,Calcium-ion,98.3,105,Plug-in Hydrogen Refueling,1.1
327,Lead-acid,31.7,321,Solar Charging,9.5
328,Nickel-manganese-cobalt,92.7,349,Plug-in Hydrogen Refueling,8
329,Sodium-ion,65.3,264,Overhead Pantograph Charging,7.3
330,Flow batteries,68.6,487,DC Fast Charging (DCFC),1.8
331,Lithium-iron phosphate,116.2,208,Inductive (Wireless) Charging,6.8
332,Nickel-metal hydride,27.8,202,Battery Swapping,1.1
333,Nickel-cobalt-aluminum,86.1,463,CCS,10.9
334,Nickel-manganese-cobalt,71.1,180,Level 1 Charging,4.5
335,Lithium-sulfur,49.3,274,Plug-in Hydrogen Refueling,8.1
336,Aluminum-ion,98.7,329,CHAdeMO,2.9
337,Solid-state,92.5,585,CCS,2.6
338,Nickel-metal hydride,44,490,Battery Swapping,7.5
339,Sodium-ion,43.9,298,Vehicle-to-Load (V2L),5.9
340,Calcium-ion,100.2,452,Mobile Charging,10.5
341,Solid-state,78.7,523,Level 2 Charging,10.6
342,Aluminum-ion,59.6,523,Solar Charging,5.8
343,Nickel-cobalt-aluminum,62,112,NACS,5.7
344,Solid-state,111.8,424,Overhead Pantograph Charging,1.5
345,Calcium-ion,38.8,493,Level 2 Charging,5.3
346,Nickel-manganese-cobalt,84.7,355,Level 1 Charging,7.5
347,Flow batteries,92.5,522,Inductive (Wireless) Charging,1.1
348,Nickel-cobalt-aluminum,149.2,182,Solar Charging,7.5
349,Sodium-ion,136.7,519,DC Fast Charging (DCFC),9.2
350,Zinc-air,27.6,392,DC Fast Charging (DCFC),6.1
351,Lithium-titanate,102.1,352,NACS,10.7
352,Sodium-ion,65.5,512,Inductive (Wireless) Charging,0.6
353,Lithium-titanate,94,591,Level 1 Charging,10.1
354,Aluminum-ion,63.6,501,Vehicle-to-Grid (V2G),11.2
355,Nickel-metal hydride,56.5,115,Mobile Charging,11.8
356,Solid-state,84.6,221,Overhead Pantograph Charging,5.7
357,Magnesium-ion,82.7,356,CHAdeMO,2.7
358,Nickel-cobalt-aluminum,112.8,367,CCS,0.5
359,Zinc-air,118.6,427,Inductive (Wireless) Charging,4.2
360,Lead-acid,33.3,377,Overhead Pantograph Charging,6.8
361,Nickel-manganese-cobalt,137.4,125,CCS,4.9
362,Magnesium-ion,89.4,598,Vehicle-to-Home (V2H),7
363,Lithium-sulfur,138.7,300,NACS,8.5
364,Zinc-air,36.6,152,Plug-in Hydrogen Refueling,9.9
365,Nickel-cobalt-aluminum,28.6,206,Vehicle-to-Grid (V2G),9.5
366,Lead-acid,32.7,327,NACS,4
367,Aluminum-ion,118.1,514,Level 1 Charging,9.2
368,Aluminum-ion,142.6,322,Overhead Pantograph Charging,11.9
369,Calcium-ion,147.2,156,Solar Charging,10.5
370,Nickel-metal hydride,44.5,296,Overhead Pantograph Charging,10.2
371,Nickel-metal hydride,103.5,312,Vehicle-to-Home (V2H),10.8
372,Lithium-ion,95.1,533,Ultra-Fast Charging (350 kW+),8.7
373,Lithium-titanate,115.1,539,Battery Swapping,5.8
374,Lead-acid,121.2,340,Vehicle-to-Home (V2H),6.4
375,Flow batteries,81.5,186,Level 2 Charging,8
376,Lithium-sulfur,131.5,107,CCS,7.4
377,Solid-state,145.8,404,CHAdeMO,10.1
378,Lithium-ion,41.8,304,Vehicle-to-Load (V2L),4
379,Nickel-cobalt-aluminum,108.2,592,Level 2 Charging,1.6
380,Magnesium-ion,107.8,223,Inductive (Wireless) Charging,6.5
381,Nickel-manganese-cobalt,65.7,471,Solar Charging,3.4
382,Calcium-ion,98.6,292,NACS,10.8
383,Nickel-metal hydride,121.5,241,Level 2 Charging,4.9
384,Nickel-manganese-cobalt,34.1,376,Vehicle-to-Grid (V2G),3
385,Flow batteries,20.1,119,Plug-in Hydrogen Refueling,3.6
386,Lithium-iron phosphate,20.4,588,Vehicle-to-Load (V2L),1.9
387,Calcium-ion,79.8,492,Solar Charging,7.9
388,Nickel-metal hydride,24.6,112,Ultra-Fast Charging (350 kW+),6.1
389,Solid-state,47.5,434,Vehicle-to-Home (V2H),11.3
390,Aluminum-ion,139.3,123,Ultra-Fast Charging (350 kW+),8.6
391,Magnesium-ion,100,132,Inductive (Wireless) Charging,5.4
392,Solid-state,55.6,487,Vehicle-to-Grid (V2G),2.4
393,Lithium-ion,20.9,574,DC Fast Charging (DCFC),8.6
394,Nickel-metal hydride,99.4,119,NACS,8.7
395,Lithium-iron phosphate,80.3,420,Inductive (Wireless) Charging,3.7
396,Nickel-cobalt-aluminum,52.7,415,Vehicle-to-Home (V2H),1
397,Lithium-iron phosphate,117.1,559,Mobile Charging,3.1
398,Aluminum-ion,76.7,210,Vehicle-to-Home (V2H),2.5
399,Calcium-ion,80.5,314,NACS,9.2
400,Nickel-manganese-cobalt,132.1,210,Vehicle-to-Load (V2L),10.1
401,Lithium-ion,25.2,340,Level 2 Charging,5.4
402,Lithium-iron phosphate,104.2,146,Level 1 Charging,6
403,Flow batteries,80.4,424,Level 1 Charging,10.4
404,Solid-state,100.7,271,Level 2 Charging,6.4
405,Lithium-titanate,120.6,170,Mobile Charging,3.2
406,Nickel-cobalt-aluminum,56,132,Overhead Pantograph Charging,4.5
407,Lithium-iron phosphate,135.9,334,DC Fast Charging (DCFC),1.4
408,Lithium-sulfur,74.1,449,CHAdeMO,5.9
409,Flow batteries,122.3,348,Vehicle-to-Home (V2H),5.8
410,Nickel-metal hydride,100.4,182,Solar Charging,2.6
411,Lead-acid,111.9,440,Mobile Charging,11.7
412,Lithium-ion,146.1,379,Mobile Charging,7.9
413,Flow batteries,91.6,257,Level 1 Charging,5.1
414,Lithium-ion,30.9,534,Vehicle-to-Home (V2H),8.3
415,Nickel-cobalt-aluminum,68.5,245,Overhead Pantograph Charging,4.5
416,Nickel-metal hydride,128.6,406,DC Fast Charging (DCFC),2.2
417,Nickel-metal hydride,92.3,463,CHAdeMO,2.8
418,Lithium-sulfur,59,427,Vehicle-to-Load (V2L),1.9
419,Zinc-air,82.5,323,Battery Swapping,7.7
420,Aluminum-ion,110.1,282,NACS,1.1
421,Magnesium-ion,32.3,485,NACS,6.8
422,Nickel-metal hydride,87.4,290,Vehicle-to-Load (V2L),5.2
423,Nickel-manganese-cobalt,139.1,159,CHAdeMO,11.1
424,Lithium-titanate,125.9,213,CHAdeMO,10.4
425,Lithium-ion,45.5,116,Level 2 Charging,5.9
426,Sodium-ion,23.8,174,Battery Swapping,11.4
427,Lithium-sulfur,42.3,486,Level 1 Charging,11.7
428,Lithium-iron phosphate,86.9,308,CCS,9.3
429,Nickel-cobalt-aluminum,56.9,407,Solar Charging,8.4
430,Flow batteries,83.9,153,Plug-in Hydrogen Refueling,5.5
431,Lithium-iron phosphate,97.3,306,CCS,3.2
432,Nickel-cobalt-aluminum,148.4,361,Battery Swapping,2.2
433,Nickel-cobalt-aluminum,98.6,267,CHAdeMO,4
434,Lithium-sulfur,90.5,514,Level 1 Charging,11.5
