Vehicle_ID,Manufacturer,Model,Year,Country_of_Manufacture,Color
225,Ferrari,SF90 Stradale (PHEV),2018,USA,Navy Blue
226,Cadillac,Celestiq,2025,South Africa,Magenta
227,Genesis,GV80 Electric,2019,Spain,Bronze
228,XPeng,G9,2025,Thailand,Tan
229,Dacia,Jogger Hybrid,2025,United Arab Emirates,Titanium
230,Skoda,Enyaq Coupe,2025,Spain,Turquoise
231,GMC,Hummer EV Pickup,2022,Sweden,Rose Gold
232,Rimac,Nevera,2016,Switzerland,Bronze
233,Zeekr,Zeekr 007,2021,USA,Turquoise
234,Seat,Avenger,2019,Czech Republic,Magenta
235,Mahindra,Born Electric (upcoming range),2018,Switzerland,Gray
236,Acura,ZDX (with GM Ultium),2023,Canada,Ice Silver
237,Seat,Avenger,2019,France,Tan
238,Cadillac,Lyriq,2019,United Arab Emirates,Silver
239,Mini,Mini Electric,2016,France,Red
240,BMW,i3,2017,Canada,Racing Red
241,Genesis,GV70 Electric,2020,Mexico,Platinum
242,Genesis,GV70 Electric,2016,Singapore,Aurora Blue
243,Renault,5 E-Tech,2022,Hungary,Ruby Red
244,Ferrari,SF90 Stradale (PHEV),2025,Brazil,Aurora Blue
245,Genesis,GV70 Electric,2023,Mexico,Forest Green
246,Hyundai,Ioniq 7 (upcoming),2022,Germany,Champagne
247,GMC,Hummer EV SUV,2023,Austria,Blue
248,Geely,Geometry A,2016,Czech Republic,Cobalt Blue
249,Volkswagen,ID.2all,2021,Australia,Electric Blue
250,Skoda,Elroq (upcoming),2016,South Korea,Racing Red
251,Jeep,Grand Cherokee 4xe (PHEV),2017,Belgium,Gun Metal
252,Cadillac,Optiq (upcoming),2023,Switzerland,Emerald Green
253,Genesis,GV70 Electric,2023,Singapore,Matte Blue
254,Faraday Future,FF 91,2023,Netherlands,Stealth Gray
255,Citroen,Ami,2015,Turkey,Forest Green
256,VinFast,VF 8,2023,Austria,Candy Apple Red
257,Cadillac,Lyriq,2018,Canada,Graphite Gray
258,Tesla,Model X,2022,Finland,Navy Blue
259,Rimac,Nevera,2017,Brazil,Green
260,Lotus,Emeya,2023,Finland,Forest Green
261,NIO,ES7,2023,Japan,Champagne
262,Maserati,Grecale Folgore,2025,Switzerland,Yellow
263,Skoda,Enyaq,2015,United Arab Emirates,Gold
264,Acura,ZDX (with GM Ultium),2021,China,Sapphire Blue
265,Mazda,Mazda EV (upcoming models),2024,New Zealand,Black
266,Ford,E-Transit,2025,Sweden,Matte Gray
267,Subaru,Solterra,2020,Spain,Titanium
268,Genesis,GV60,2019,Brazil,Pink
269,Rimac,Nevera,2022,Vietnam,Purple
270,BYD,Tang EV,2025,United Arab Emirates,Champagne
271,Maserati,Grecale Folgore,2019,Germany,Emerald Green
272,Maserati,GranTurismo Folgore,2025,Czech Republic,Rose Gold
273,Tesla,Roadster (upcoming),2018,Norway,Pearl White
274,Chevrolet,Bolt EUV,2022,Argentina,Burgundy
275,Dacia,Bigster EV (upcoming),2019,China,Ruby Red
276,Mahindra,Born Electric (upcoming range),2024,Portugal,Ruby Red
277,Faraday Future,FF 91,2016,Germany,Tan
278,Ferrari,SF90 Stradale (PHEV),2015,Czech Republic,Black
279,Li Auto,L8,2024,Ireland,Sunset Orange
280,MG,MG ES5,2017,Canada,Stealth Gray
281,Genesis,G80 Electric,2023,India,Burgundy
282,Volkswagen,ID.5,2022,Spain,Tan
283,Lotus,Eletre,2021,Israel,Brown
284,Li Auto,MEGA,2017,Thailand,Navy Blue
285,Rivian,EDV (Electric Delivery Van),2021,UK,White
286,BYD,Han EV,2024,Ireland,Cosmic Purple
287,Lucid Motors,Lucid DreamDrive,2023,Belgium,Turquoise
288,XPeng,P5,2024,United Arab Emirates,Volcanic Yellow
289,Changan,Deepal S07,2024,Canada,Pink
290,Geely,Geometry C,2024,Israel,Sunset Orange
291,Seat,Avenger,2020,UK,Copper
292,Rimac,Nevera,2018,Belgium,Racing Red
293,Opel,Corsa-e,2016,Japan,Matte White
294,Porsche,Panamera EV,2021,Japan,Matte White
295,Lotus,Emeya,2020,Finland,Turquoise
296,Porsche,Cayenne Electric (upcoming),2021,Norway,Candy Apple Red
297,Lamborghini,Lanzador (upcoming EV),2021,Russia,Tan
298,Subaru,Solterra,2023,Spain,Platinum
299,Lamborghini,Lanzador (upcoming EV),2020,Norway,Matte White
300,NIO,ES7,2022,Finland,Tan
301,Mazda,Mazda EV (upcoming models),2024,Israel,Racing Red
302,Polestar,Polestar 4,2016,South Korea,Matte Gray
303,GMC,Hummer EV Pickup,2016,Italy,Candy Apple Red
304,Great Wall Motors,ORA Lightning Cat,2023,Israel,Midnight Black
305,Acura,ZDX (with GM Ultium),2020,Sweden,Gold
306,Great Wall Motors,ORA Ballet Cat,2015,Czech Republic,Cobalt Blue
307,Polestar,Polestar 3,2025,Finland,Matte Black
308,Lucid Motors,Lucid Air,2017,Russia,Sapphire Blue
309,Mazda,Mazda EV (upcoming models),2017,Mexico,Electric Blue
310,Citroen,??-C4,2015,India,Gold
311,Peugeot,e-208,2018,Hungary,Magenta
312,Great Wall Motors,ORA Ballet Cat,2019,Hungary,Brown
313,Chevrolet,Equinox EV,2022,Finland,Sky Blue
314,Volkswagen,ID.6,2018,Germany,Metallic Silver
315,Geely,Emgrand EV,2019,Portugal,Sunset Orange
316,Geely,Geometry C,2019,Argentina,Sapphire Blue
317,Lucid Motors,Lucid DreamDrive,2025,France,Orange
318,Kia,EV9,2018,Israel,Ice Silver
319,Mahindra,XUV400,2022,Finland,Blue
320,Kia,Soul EV,2018,United Arab Emirates,Matte Gray
321,Mini,Mini Cooper SE,2016,Ireland,Matte White
322,Citroen,Ami,2021,United Arab Emirates,Navy Blue
323,Chevrolet,Volt (PHEV),2024,Hungary,Electric Blue
324,Lamborghini,Revuelto (PHEV),2016,Austria,Forest Green
325,Rimac,Nevera,2017,Singapore,Volcanic Yellow
326,Opel,Corsa-e,2025,Saudi Arabia,Purple
327,Citroen,Ami,2024,UK,Pink
328,Zeekr,Zeekr X,2017,South Africa,Sapphire Blue
329,Jaguar,I-PACE,2021,Netherlands,Magenta
330,Chevrolet,Bolt EUV,2018,Sweden,Sapphire Blue
331,Great Wall Motors,ORA Good Cat,2020,New Zealand,Matte Gray
332,Lotus,Eletre,2019,China,White
333,Mazda,Mazda EV (upcoming models),2018,Saudi Arabia,Gun Metal
334,Polestar,Polestar 4,2020,Poland,Emerald Green
335,Canoo,Lifestyle Vehicle,2023,South Africa,Beige
336,Ford,Explorer EV (Europe),2019,Denmark,Matte White
337,Genesis,GV70 Electric,2020,Germany,Charcoal
338,Opel,Corsa-e,2016,Austria,Gun Metal
339,Cadillac,Celestiq,2025,Japan,Crimson Red
340,Audi,e-tron GT,2022,Thailand,Brown
341,Peugeot,e-208,2023,Thailand,Matte White
342,Mazda,Mazda EV (upcoming models),2021,South Korea,Sapphire Blue
343,Porsche,Macan EV,2021,Australia,Metallic Silver
344,Renault,Megane E-Tech,2016,Turkey,Volcanic Yellow
345,Mini,Mini Electric,2017,Malaysia,Navy Blue
346,Citroen,??-Spacetourer,2015,Israel,Electric Blue
347,Polestar,Polestar 4,2024,Brazil,Ruby Red
348,Hyundai,Kona Electric,2016,Singapore,Gun Metal
349,Opel,Mokka-e,2020,Czech Republic,Red
350,Rivian,EDV (Electric Delivery Van),2018,Czech Republic,Burgundy
351,GMC,Hummer EV SUV,2023,Denmark,Copper
352,Li Auto,MEGA,2015,Spain,Copper
353,Pininfarina,Battista,2021,Mexico,Titanium
354,Ford,Explorer EV (Europe),2023,Poland,Matte Black
355,Pininfarina,Battista,2016,Netherlands,Titanium
356,Chevrolet,Volt (PHEV),2021,South Africa,Electric Blue
357,Geely,Emgrand EV,2015,South Africa,Volcanic Yellow
358,Renault,Megane E-Tech,2022,Ireland,Sky Blue
359,Peugeot,e-3008,2015,Saudi Arabia,Bronze
360,Tesla,Cybertruck,2023,Czech Republic,Cosmic Purple
361,BMW,iX,2015,Norway,Cream
362,Pininfarina,Battista,2025,Australia,Cobalt Blue
363,Volvo,C40 Recharge,2024,Hungary,Burgundy
364,Mazda,Mazda EV (upcoming models),2024,United Arab Emirates,Purple
365,Polestar,Polestar 3,2022,Mexico,Burgundy
366,Jaguar,I-PACE,2020,France,Gun Metal
367,Rivian,R1T,2024,Saudi Arabia,Candy Apple Red
368,Ferrari,Ferrari EV (2025+),2019,Turkey,Sapphire Blue
369,Tesla,Roadster (upcoming),2023,Israel,Ice Silver
370,Mini,Mini Electric,2022,Italy,Lime Green
371,Zeekr,Zeekr X,2016,Finland,Brown
372,Porsche,Cayenne Electric (upcoming),2024,Singapore,Matte White
373,Seat,Avenger,2017,UK,Sapphire Blue
374,Subaru,Solterra,2020,Mexico,Volcanic Yellow
375,Subaru,Solterra,2015,Finland,Racing Red
376,Volkswagen,ID.7,2019,Sweden,Racing Red
377,Porsche,Taycan,2020,India,Tan
378,Genesis,GV80 Electric,2016,Saudi Arabia,Stealth Gray
379,Tesla,Model X,2022,Vietnam,Teal
380,Genesis,G80 Electric,2022,Hungary,Midnight Black
381,Lotus,Eletre,2025,UK,Sapphire Blue
382,Jaguar,I-PACE,2016,Czech Republic,Gold
383,Mini,Mini Cooper SE,2019,Spain,Blue
384,XPeng,G6,2025,Spain,Candy Apple Red
385,Mahindra,XUV400,2025,Singapore,Cream
386,Renault,Megane E-Tech,2023,Mexico,Teal
387,Maserati,GranTurismo Folgore,2016,India,Silver
388,Hyundai,Ioniq 7 (upcoming),2018,Poland,Matte White
389,Pininfarina,Battista,2021,Sweden,Matte White
390,Genesis,GV60,2022,South Korea,Midnight Black
391,Jaguar,I-PACE,2024,Thailand,Racing Red
392,Porsche,Panamera EV,2016,Malaysia,Pearl White
393,Nissan,Ariya,2016,Indonesia,Copper
394,Geely,Geometry C,2018,Poland,Green
395,BYD,Atto 3,2023,Sweden,Burgundy
396,BYD,Seal,2018,Norway,Matte White
397,Jeep,Wagoneer S,2021,France,Crimson Red
398,Jeep,Recon (upcoming),2015,Denmark,Sunset Orange
399,Toyota,bZ4X,2016,Ireland,Copper
400,Hyundai,Ioniq 7 (upcoming),2023,Vietnam,Volcanic Yellow
401,Ferrari,SF90 Stradale (PHEV),2021,France,Cobalt Blue
402,Volkswagen,ID.5,2019,Australia,Cosmic Purple
403,XPeng,G6,2020,Mexico,Ice Silver
404,VinFast,VF 7,2025,South Korea,Turquoise
405,Genesis,GV60,2023,Israel,Aurora Blue
406,Toyota,Lexus UX 300e,2025,Canada,Matte Black
407,BYD,Seagull,2016,China,Copper
408,Lotus,Evija,2015,Germany,Racing Red
409,Jeep,Wagoneer S,2025,Poland,Burgundy
410,Fisker,Pear (upcoming),2022,Sweden,Cosmic Purple
411,BYD,Tang EV,2018,Saudi Arabia,Candy Apple Red
412,Changan,Deepal S07,2017,Singapore,Copper
413,Great Wall Motors,ORA Good Cat,2017,Brazil,Candy Apple Red
414,VinFast,VF 8,2018,Thailand,Graphite Gray
415,Ford,Explorer EV (Europe),2020,UK,Matte Gray
416,Faraday Future,FF 91,2021,Mexico,Matte Black
417,Acura,ZDX (with GM Ultium),2021,United Arab Emirates,Copper
418,Nissan,Leaf,2017,Indonesia,Copper
419,Audi,A6 e-tron (upcoming),2020,Canada,Ice Silver
420,Ford,E-Transit,2022,Brazil,Emerald Green
421,Opel,Grandland Electric,2017,Poland,Platinum
422,Canoo,Lifestyle Vehicle,2015,France,Pearl White
423,Dacia,Jogger Hybrid,2021,Argentina,Magenta
424,Dacia,Bigster EV (upcoming),2015,Poland,Crimson Red
425,Nissan,Ariya,2021,China,Silver
426,Lucid Motors,Lucid Air,2025,Turkey,Pearl White
427,Lotus,Eletre,2018,Turkey,Electric Blue
428,Fisker,Pear (upcoming),2021,Canada,Sunset Orange
429,Rimac,Nevera,2016,United Arab Emirates,Crimson Red
430,BYD,Tang EV,2015,Canada,Green
431,BYD,Tang EV,2020,Portugal,Champagne
432,Great Wall Motors,ORA Ballet Cat,2024,Spain,Orange
433,Mahindra,XUV400,2017,China,Stealth Gray
434,Mahindra,Born Electric (upcoming range),2023,Canada,Brown
435,Lamborghini,Lanzador (upcoming EV),2017,Russia,Sky Blue
436,BMW,i7,2019,Germany,Blue
437,Citroen,Ami,2020,Belgium,Forest Green
438,Pininfarina,Battista,2015,Germany,Bronze
439,Ferrari,SF90 Stradale (PHEV),2022,Mexico,Lime Green
440,Rivian,R1S,2019,Israel,Green
441,Zeekr,Zeekr X,2020,Saudi Arabia,Lime Green
442,Nissan,Leaf,2024,Finland,Cobalt Blue
443,BYD,Dolphin,2017,China,Titanium
444,Cadillac,Lyriq,2021,Russia,Sunset Orange
445,Volkswagen,ID.3,2019,Russia,Volcanic Yellow
446,Audi,Q8 e-tron,2020,Belgium,Gray
447,Honda,Honda Prologue,2016,Belgium,Beige
448,Honda,Honda e (discontinued),2015,Belgium,Sky Blue
449,Cadillac,Lyriq,2025,Argentina,Emerald Green
450,XPeng,G9,2019,Malaysia,Pearl White
451,Great Wall Motors,ORA Ballet Cat,2021,Netherlands,Platinum
452,Rimac,Nevera,2015,USA,Gray
453,Lotus,Evija,2025,Italy,Aurora Blue
454,Li Auto,L9,2017,Finland,Matte Gray
455,XPeng,X9,2021,South Africa,White
456,Canoo,Pickup,2019,Czech Republic,Platinum
457,Honda,e:Ny1,2024,Thailand,Purple
458,Kia,Soul EV,2015,Ireland,Cobalt Blue
459,Mini,Mini Cooper SE,2017,Australia,Pink
460,Rimac,Nevera,2017,Spain,Copper
461,Mahindra,XUV400,2023,Norway,Crimson Red
462,Chevrolet,Silverado EV,2020,Canada,Charcoal
463,Ferrari,Ferrari EV (2025+),2024,China,Tan
464,Skoda,Enyaq,2021,Australia,Green
465,Tesla,Model X,2015,Singapore,Cobalt Blue
466,Peugeot,e-208,2023,UK,Cream
467,Citroen,Ami,2017,Ireland,Sky Blue
468,Geely,Geometry C,2022,Norway,Sapphire Blue
469,Skoda,Elroq (upcoming),2017,New Zealand,Cobalt Blue
470,Mazda,MX-30,2023,Singapore,Sunset Orange
471,Jaguar,I-PACE,2017,Hungary,Magenta
472,Rivian,R1T,2016,Canada,Cream
473,Mahindra,Born Electric (upcoming range),2024,USA,Gray
474,Genesis,GV70 Electric,2025,New Zealand,Charcoal
475,Great Wall Motors,ORA Good Cat,2022,Vietnam,Emerald Green
476,Mahindra,Born Electric (upcoming range),2022,Vietnam,Black
477,Mahindra,Born Electric (upcoming range),2022,Austria,Candy Apple Red
478,Mazda,Mazda EV (upcoming models),2021,Netherlands,Rose Gold
479,Porsche,Macan EV,2017,Switzerland,Forest Green
480,Canoo,MPDV,2015,Russia,Crimson Red
481,Seat,Avenger,2015,Finland,Yellow
482,Acura,ZDX (with GM Ultium),2018,France,Champagne
483,Opel,Corsa-e,2018,Indonesia,Turquoise
484,Volkswagen,ID.2all,2021,Argentina,Sky Blue
485,Hyundai,Ioniq 6,2020,Sweden,Lime Green
486,Li Auto,MEGA,2025,South Africa,Bronze
487,VinFast,VFe34 (discontinued),2025,Japan,Green
488,Mazda,MX-30,2016,Saudi Arabia,Black
489,Renault,Megane E-Tech,2020,Malaysia,Orange
490,Dacia,Jogger Hybrid,2020,France,Forest Green
